product_page_url	universal_product_code	title	price_including_tax	price_excluding_tax	number_available	product_description	category	review_rating	image_url
https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html	a34ba96d4081e6a4	Rip it Up and Start Again	£35.02	£35.02	 (19 available)	Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. RIP IT UP AND START AGAIN is a celebration of what happened next.Post-punk bands like PiL, Joy Division, Talking Heads, The Fall and The Human League dedicated themselves to fulfilling punk's unfinished musical revolution. The post-punk groups were fervent modernists; w Punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. RIP IT UP AND START AGAIN is a celebration of what happened next.Post-punk bands like PiL, Joy Division, Talking Heads, The Fall and The Human League dedicated themselves to fulfilling punk's unfinished musical revolution. The post-punk groups were fervent modernists; whether experimenting with electronics and machine rhythm or adapting ideas from dub reggae and disco, they were totally confident they could invent a whole new future for music. ...more	Music	Five	https://books.toscrape.com/media/cache/81/7f/817f5089c0e6e62738dce2931e7323d3.jpg
https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html	deda3e61b9514b83	Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991	£57.25	£57.25	 (19 available)	This is the never-before-told story of the musical revolution that happened right under the nose of the Reagan Eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized American rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and imme This is the never-before-told story of the musical revolution that happened right under the nose of the Reagan Eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized American rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and immensely influential. This sweeping chronicle of music, politics, drugs, fear, loathing, and faith has been recognized as an indie rock classic in its own right. Among the bands profiled: Mission of Burma, Butthole Surfers, The Minutemen, Sonic Youth, Black Flag, Big Black, Hüsker Dü, Fugazi, Minor Threat, Mudhoney, The Replacements, Beat Happening, and Dinosaur Jr. ...more	Music	Three	https://books.toscrape.com/media/cache/ad/96/ad96e9c9f1664cbcb0e9627b007fb6f9.jpg
https://books.toscrape.com/catalogue/how-music-works_979/index.html	327f68a59745c102	How Music Works	£37.32	£37.32	 (19 available)	How Music Works is David Byrne’s remarkable and buoyant celebration of a subject he has spent a lifetime thinking about. In it he explores how profoundly music is shaped by its time and place, and he explains how the advent of recording technology in the twentieth century forever changed our relationship to playing, performing, and listening to music.Acting as historian an How Music Works is David Byrne’s remarkable and buoyant celebration of a subject he has spent a lifetime thinking about. In it he explores how profoundly music is shaped by its time and place, and he explains how the advent of recording technology in the twentieth century forever changed our relationship to playing, performing, and listening to music.Acting as historian and anthropologist, raconteur and social scientist, he searches for patterns—and shows how those patterns have affected his own work over the years with Talking Heads and his many collaborators, from Brian Eno to Caetano Veloso. Byrne sees music as part of a larger, almost Darwinian pattern of adaptations and responses to its cultural and physical context. His range is panoptic, taking us from Wagnerian opera houses to African villages, from his earliest high school reel-to-reel recordings to his latest work in a home music studio (and all the big studios in between).Touching on the joy, the physics, and even the business of making music, How Music Works is a brainy, irresistible adventure and an impassioned argument about music’s liberating, life-affirming power. ...more	Music	Two	https://books.toscrape.com/media/cache/1d/40/1d4087ff0a63f09fae9cd8433d21c2c4.jpg
https://books.toscrape.com/catalogue/love-is-a-mix-tape-music-1_711/index.html	adb5f51c2e2ab13f	Love Is a Mix Tape (Music #1)	£18.03	£18.03	 (14 available)	In this stunning memoir, Rob Sheffield, a veteran rock and pop culture critic and staff writer for Rolling Stone magazine, tells the story of his musical coming of age, and how rock music, the first love of his life, led him to his second, a girl named Renee. Rob and Renee's life together - they wed after graduate school, both became music journalists, and were married onl In this stunning memoir, Rob Sheffield, a veteran rock and pop culture critic and staff writer for Rolling Stone magazine, tells the story of his musical coming of age, and how rock music, the first love of his life, led him to his second, a girl named Renee. Rob and Renee's life together - they wed after graduate school, both became music journalists, and were married only five years when Renee died suddenly on Mother's Day, 1997 - is shared through the window of the mix tapes they obsessively compiled. There are mixes to court each other, mixes for road trips, mixes for doing the dishes, mixes for sleeping - and, eventually, mixes to mourn Rob's greatest loss. The tunes were among the great musical output of the early 1990s - Pearl Jam, Nirvana, Pavement, Yo La Tengo, REM, Weezer - as well as classics by The Rolling Stones, The Beatles, Aretha Franklin and more. Mixing the skilful, tragic punch of Dave Eggers and the romantic honesty of Nick Hornby, LOVE IS A MIX TAPE is a story of lost love and the kick-you-in-the-gut energy of great pop music. ...more	Music	One	https://books.toscrape.com/media/cache/b2/43/b2430e3958014d962042a14a912151ac.jpg
https://books.toscrape.com/catalogue/please-kill-me-the-uncensored-oral-history-of-punk_537/index.html	4a823d80aa30dbb0	Please Kill Me: The Uncensored Oral History of Punk	£31.19	£31.19	 (8 available)	A Time Out and Daily News Top Ten Book of the Year upon its initial release, Please Kill Me is the first oral history of the most nihilist of all pop movements. Iggy Pop, Danny Fields, Dee Dee and Joey Ramone, Malcom McLaren, Jim Carroll, and scores of other famous and infamous punk figures lend their voices to this definitive account of that outrageous, explosive era. Fro A Time Out and Daily News Top Ten Book of the Year upon its initial release, Please Kill Me is the first oral history of the most nihilist of all pop movements. Iggy Pop, Danny Fields, Dee Dee and Joey Ramone, Malcom McLaren, Jim Carroll, and scores of other famous and infamous punk figures lend their voices to this definitive account of that outrageous, explosive era. From its origins in the twilight years of Andy Warhol’s New York reign to its last gasps as eighties corporate rock, the phenomenon known as punk is scrutinized, eulogized, and idealized by the people who were there and who made it happen. ...more	Music	Four	https://books.toscrape.com/media/cache/8e/bb/8ebbba84c204b011527a8f4bd082b03f.jpg
https://books.toscrape.com/catalogue/kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html	39eefec3a8498dde	Kill 'Em and Leave: Searching for James Brown and the American Soul	£45.05	£45.05	 (8 available)	National Book Award winner James McBride goes in search of the “real” James Brown after receiving a tip that promises to uncover the man behind the myth. His surprising journey illuminates not only our understanding of this immensely troubled, misunderstood, and complicated soul genius but the ways in which our cultural heritage has been shaped by Brown’s legacy. Kill ’Em National Book Award winner James McBride goes in search of the “real” James Brown after receiving a tip that promises to uncover the man behind the myth. His surprising journey illuminates not only our understanding of this immensely troubled, misunderstood, and complicated soul genius but the ways in which our cultural heritage has been shaped by Brown’s legacy.  Kill ’Em and Leave is more than a book about James Brown. Brown’s rough-and-tumble life, through McBride’s lens, is an unsettling metaphor for American life: the tension between North and South, black and white, rich and poor. McBride’s travels take him to forgotten corners of Brown’s never-before-revealed history: the country town where Brown’s family and thousands of others were displaced by America’s largest nuclear power bomb-making facility; a South Carolina field where a long-forgotten cousin recounts, in the dead of night, a fuller history of Brown’s sharecropping childhood, which until now has been a mystery. McBride seeks out the American expatriate in England who co-created the James Brown sound, visits the trusted right-hand manager who worked with Brown for forty-one years, and interviews Brown’s most influential nonmusical creation, his “adopted son,” the Reverend Al Sharpton. He describes the stirring visit of Michael Jackson to the Augusta, Georgia, funeral home where the King of Pop sat up all night with the body of his musical godfather, spends hours talking with Brown’s first wife, and lays bare the Dickensian legal contest over James Brown’s estate, a fight that has consumed careers; prevented any money from reaching the poor schoolchildren in Georgia and South Carolina, as instructed in his will; cost Brown’s estate millions in legal fees; and left James Brown’s body to lie for more than eight years in a gilded coffin in his daughter’s yard in South Carolina.   James McBride is one of the most distinctive and electric literary voices in America today, and part of the pleasure of his narrative is being in his presence, coming to understand Brown through McBride’s own insights as a black musician with Southern roots. Kill ’Em and Leave is a song unearthing and celebrating James Brown’s great legacy: the cultural landscape of America today.Praise for Kill ’Em and Leave “The definitive look at one of the greatest, most important entertainers, The Godfather, Da Number One Soul Brother, Mr. Please, Please Himself—JAMES BROWN.”—Spike Lee “Please, please, please: Can anybody tell us who and what was James Brown? At last, the real deal: James McBride on James Brown is the matchup we’ve been waiting for, a musician who came up hard in Brooklyn with JB hooks lodged in his brain, a monster ear for the truth, and the chops to write it. This is no celeb bio but a compelling personal quest—so very timely, angry, hilarious, and as irresistible as any James Brown beat.”—Gerri Hirshey, author of Nowhere to Run: The Story of Soul Music “An unconventional and fascinating portrait of Soul Brother No. 1 and the significance of his rise and fall in American culture.” —Kirkus Reviews ...more	Music	Five	https://books.toscrape.com/media/cache/d4/8e/d48ee3fe30d6d9b9cc550b76dae5984a.jpg
https://books.toscrape.com/catalogue/chronicles-vol-1_462/index.html	4781b6bfd6f7a2c5	Chronicles, Vol. 1	£52.60	£52.60	 (7 available)	"""I'd come from a long ways off and had started a long ways down. But now destiny was about to manifest itself. I felt like it was looking right at me and nobody else."" So writes Bob Dylan in Chronicles: Volume One, his remarkable book exploring critical junctures in his life and career. Through Dylan's eyes and open mind, we see Greenwich Village, circa 1961, when he first ""I'd come from a long ways off and had started a long ways down. But now destiny was about to manifest itself. I felt like it was looking right at me and nobody else."" So writes Bob Dylan in Chronicles: Volume One, his remarkable book exploring critical junctures in his life and career. Through Dylan's eyes and open mind, we see Greenwich Village, circa 1961, when he first arrives in Manhattan. Dylan's New York is a magical city of possibilities -- smoky, nightlong parties; literary awakenings; transient loves and unbreakable friendships. Elegiac observations are punctuated by jabs of memories, penetrating and tough. With the book's side trips to New Orleans, Woodstock, Minnesota and points west, Chronicles: Volume One is an intimate and intensely personal recollection of extraordinary times.By turns revealing, poetical, passionate and witty, Chronicles: Volume One is a mesmerizing window on Bob Dylan's thoughts and influences. Dylan's voice is distinctively American: generous of spirit, engaged, fanciful and rhythmic. Utilizing his unparalleled gifts of storytelling and the exquisite expressiveness that are the hallmarks of his music, Bob Dylan turns Chronicles: Volume One into a poignant reflection on life, and the people and places that helped shape the man and the art. ...more"	Music	Two	https://books.toscrape.com/media/cache/df/bd/dfbd53a5c4bcb1bf676bf2a86335adbb.jpg
https://books.toscrape.com/catalogue/this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html	bc209a900101f28d	This Is Your Brain on Music: The Science of a Human Obsession	£38.40	£38.40	 (5 available)	Whether you load your iPod with Bach or Bono, music has a significant role in your life—even if you never realized it. Why does music evoke such powerful moods? The answers are at last be- coming clear, thanks to revolutionary neuroscience and the emerging field of evolutionary psychology. Both a cutting-edge study and a tribute to the beauty of music itself, This Is Your Whether you load your iPod with Bach or Bono, music has a significant role in your life—even if you never realized it. Why does music evoke such powerful moods? The answers are at last be- coming clear, thanks to revolutionary neuroscience and the emerging field of evolutionary psychology. Both a cutting-edge study and a tribute to the beauty of music itself, This Is Your Brain on Music unravels a host of mysteries that affect everything from pop culture to our understanding of human nature, including: • Are our musical preferences shaped in utero? • Is there a cutoff point for acquiring new tastes in music? • What do PET scans and MRIs reveal about the brain’s response to music? • Is musical pleasure different from other kinds of pleasure?This Is Your Brain on Music explores cultures in which singing is considered an essential human function, patients who have a rare disorder that prevents them from making sense of music, and scientists studying why two people may not have the same definition of pitch. At every turn, this provocative work unlocks deep secrets about how nature and nurture forge a uniquely human obsession. ...more	Music	One	https://books.toscrape.com/media/cache/d8/d3/d8d3a16113069ccde25da34483a583fb.jpg
https://books.toscrape.com/catalogue/orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html	2ba5ccc84d35006c	Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors	£12.36	£12.36	 (4 available)	The compelling biography of the violinist who founded the Palestine Symphony Orchestra and saved hundreds of people from Hitler—as seen in Josh Aronson’s documentary Orchestra of Exiles.“The true artist does not create art as an end in itself. He creates art for human beings. Humanity is the goal.”—Bronislaw HubermanAt fourteen, Bronislaw Huberman played the Brahms Violin The compelling biography of the violinist who founded the Palestine Symphony Orchestra and saved hundreds of people from Hitler—as seen in Josh Aronson’s documentary Orchestra of Exiles.“The true artist does not create art as an end in itself. He creates art for human beings. Humanity is the goal.”—Bronislaw HubermanAt fourteen, Bronislaw Huberman played the Brahms Violin Concerto in Vienna— winning high praise from the composer himself, who was there. Instantly famous, Huberman began touring all over the world and received invitations to play for royalty across Europe. But after witnessing the tragedy of World War I, he committed his phenomenal talent and celebrity to aid humanity.After studying at the Sorbonne in Paris, Huberman joined the ranks of Sigmund Freud and Albert Einstein in calling for peace through the Pan European Movement. But when hope for their noble vision was destroyed by the rise of Nazism, Huberman began a crusade that would become his greatest legacy—the creation, in 1936, of the Palestine Symphony, which twelve years later became the Israel Philharmonic Orchestra.In creating this world-level orchestra, Huberman miraculously arranged for the very best Jewish musicians and their families to emigrate from Nazi-threatened territories. His tireless campaigning for the project—including a marathon fundraising concert tour across America—ultimately saved nearly a thousand Jews from the approaching Holocaust. Inviting the great Arturo Toscanini to conduct the orchestra’s first concert, Huberman’s clarion call of art over cruelty was heard around the world. His story contains estraordinary adventures, riches and royalty, politicians and broken promises, losses and triumphs. Against near impossible obstacles, Huberman refused to give up on his dream to create a unique and life-saving orchestra of exiles which was one of the great cultural achievements of the 20th century.Includes Photographs ...more	Music	Three	https://books.toscrape.com/media/cache/b5/94/b59425287ce6b186715fa7b01054c2bf.jpg
https://books.toscrape.com/catalogue/no-one-here-gets-out-alive_336/index.html	3a95f5a2df4ff921	No One Here Gets Out Alive	£20.02	£20.02	 (4 available)	"Here is Jim Morrison in all his complexity-singer, philosopher, poet, delinquent-the brilliant, charismatic, and obsessed seeker who rejected authority in any form, the explorer who probed ""the bounds of reality to see what would happen..."" Seven years in the writing, this definitive biography is the work of two men whose empathy and experience with Jim Morrison uniquely p Here is Jim Morrison in all his complexity-singer, philosopher, poet, delinquent-the brilliant, charismatic, and obsessed seeker who rejected authority in any form, the explorer who probed ""the bounds of reality to see what would happen..."" Seven years in the writing, this definitive biography is the work of two men whose empathy and experience with Jim Morrison uniquely prepared them to recount this modern tragedy: Jerry Hopkins, whose famous Presley biography, Elvis, was inspired by Morrison's suggestion, and Danny Sugerman, confidant of and aide to the Doors. With an afterword by Michael McClure. ...more"	Music	Five	https://books.toscrape.com/media/cache/8e/9b/8e9be254974e64a8a3d365a1571e3ec2.jpg
