product_page_url	universal_product_code	title	price_including_tax	price_excluding_tax	number_available	product_description	category	review_rating	image_url
https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html	fd8585283fc7d2d7	I Had a Nice Time And Other Lies...: How to find love & sh*t like that	£57.36	£57.36	 (15 available)	The New York Times bestselling authors of Nice Is Just a Place in France and creators of the online humor and advice phenomenon Betches.com and Instagram account @Betches explain the brutal truths of how to date like a true betch, with insights from the Head Pro.In the age of Tinder, Hinge, or any other dating app that matches you with randos, the dating game has grown com The New York Times bestselling authors of Nice Is Just a Place in France and creators of the online humor and advice phenomenon Betches.com and Instagram account @Betches explain the brutal truths of how to date like a true betch, with insights from the Head Pro.In the age of Tinder, Hinge, or any other dating app that matches you with randos, the dating game has grown complex and confusing. Cue the Betches—first, we helped you win at basically everything, and now we’re going to help you win the most important battle a betch can face. Maybe you’re a Delusional Dater who needs to get in touch with reality (seriously, he’s just NOT that f***ing into you) or perhaps you’re a TGF who needs to stop being so desperate and start playing the game. Or maybe you’re just tired of swiping left and ready for the pro of your dreams to put a 15-karat diamond ring on it so you can stop pretending to do work. Either way, we’ve got you covered. With insight from the Betches’ own Head Pro, this book is a must-have bible for any betch looking for love. So put away the Ben & Jerry’s fro-yo (just because it’s low fat doesn’t mean it’s okay to eat the whole tub) and start dating like a winner. ...more	Womens Fiction	Four	https://books.toscrape.com/media/cache/60/e9/60e9df360fec611b15a1bbb4c28aad22.jpg
https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html	077b635ff2afc578	Will You Won't You Want Me?	£13.86	£13.86	 (12 available)	Marjorie Plum never meant to peak in high school. She was Queen Bee. Now, 10 years later, she's lost her sparkle. At her bleakest moment, she’s surprised by renewed interest from a questionable childhood crush, and the bickering with her cranky boss—at a potentially game-changing new job—grows increasingly like flirtatious banter. Suddenly, she’s faced with a choice betwee Marjorie Plum never meant to peak in high school. She was Queen Bee. Now, 10 years later, she's lost her sparkle. At her bleakest moment, she’s surprised by renewed interest from a questionable childhood crush, and the bickering with her cranky boss—at a potentially game-changing new job—grows increasingly like flirtatious banter. Suddenly, she’s faced with a choice between the life she always dreamed of and one she never thought to imagine. With the help of a precocious 11-year-old tutee, who unknowingly becomes the Ghost of Marjorie Past, and a musician roommate, who looks like a pixie and talks like the Dalai Lama, Marjorie struggles with the ultimate question: Who does she want to be? Nora Zelevansky’s Will You Won’t You Want Me? is a funny, often surprising, novel about growing up when you are already supposed to be grown. ...more	Womens Fiction	Three	https://books.toscrape.com/media/cache/b9/ef/b9efe934eaeb1f51ad31a971188d7bc3.jpg
https://books.toscrape.com/catalogue/keep-me-posted_594/index.html	20dc4f1ac5d4fd9c	Keep Me Posted	£20.46	£20.46	 (11 available)	Two sisters share the surprising highs and cringe-worthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. Sisters Cassie and Sid Sunday have not done a bang-up job of keeping in touch. In their defense, it hasn’t been easy: life veered in sharply different directions for the once-close sisters. Today, Two sisters share the surprising highs and cringe-worthy lows of social media fame, when their most private thoughts become incredibly public in this fresh and funny debut novel. Sisters Cassie and Sid Sunday have not done a bang-up job of keeping in touch. In their defense, it hasn’t been easy: life veered in sharply different directions for the once-close sisters. Today, beautiful and big-hearted Sid lives an expat’s life of leisure in far-off Singapore, while harried, iPhone-clutching Cassie can’t seem to make it work as a wife and a mom to twin toddlers in Manhattan.   It doesn't help that Sid spurns all social media while Cassie is addicted to Facebook. So when Sid issues a challenge to reconnect the old-fashioned way—through real, handwritten letters—Cassie figures, why not?   The experiment exceeds both of their expectations, and the letters become a kind of mutual confessional that have real and soul-satisfying effects. And they just might have the power to help Cassie save her marriage, and give Sid the strength to get her life back on track.   But first, one of Cassie’s infamous lapses in judgment comes back to bite her, and all of the letters wind up the one place you’d never, ever want to see them: the Internet... ...more	Womens Fiction	Four	https://books.toscrape.com/media/cache/9c/84/9c845ad6a9d4ecf44d53ac0e3b8f54ae.jpg
https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html	b5953ca1f8a0b8d7	Grey (Fifty Shades #4)	£48.49	£48.49	 (11 available)	See the world of Fifty Shades of Grey anew through the eyes of Christian Grey.In Christian's own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world.Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the See the world of Fifty Shades of Grey anew through the eyes of Christian Grey.In Christian's own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world.Christian Grey exercises control in all things; his world is neat, disciplined, and utterly empty—until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him—past the business prodigy and the penthouse lifestyle to Christian’s cold, wounded heart.  Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him?This book is intended for mature audiences. ...more	Womens Fiction	Four	https://books.toscrape.com/media/cache/c8/06/c806501c08d2b2cd72f2362a3da6ab80.jpg
https://books.toscrape.com/catalogue/meternity_478/index.html	725cd8d23d78cdca	Meternity	£43.58	£43.58	 (7 available)	"The novel your book club must discuss!Meghann Foye was interviewed on The TODAY Show and The View regarding her new book Meternity.""A fresh, contemporary take on love and work, marriage and motherhood, Meternity is guaranteed to surprise and delight!"" â""Emily Giffin, #1 New York Times bestselling author of Something Borrowed and First Comes LoveLike everyone in New York me The novel your book club must discuss!Meghann Foye was interviewed on The TODAY Show and The View regarding her new book Meternity.""A fresh, contemporary take on love and work, marriage and motherhood, Meternity is guaranteed to surprise and delight!"" â€""Emily Giffin, #1 New York Times bestselling author of Something Borrowed and First Comes LoveLike everyone in New York media, editor Liz Buckley runs on cupcakes, caffeine and cocktails. But at thirty-one, she's plateaued at Paddy Cakes, a glossy baby magazine that flogs thousand-dollar strollers to entitled, hypercompetitive spawn-havers.Liz has spent years working a gazillion hours a week picking up the slack for coworkers with kids, and she's tired of it. So one day when her stress-related nausea is mistaken for morning sickness by her bossesâ€""boom! Liz is promoted to the mommy track. She decides to run with it and plans to use her paid time off to figure out her life: work, love and otherwise. It'll be her ""meternity"" leave.By day, Liz rocks a foam-rubber belly under fab maternity outfits. By night, she dumps the bump for karaoke nights and boozy dinners out. But how long can she keep up her charadeâ€¦and hide it from the guy who might just be The One?As her ""due date"" approaches, Liz is exhaustedâ€""and exhilaratedâ€""by the ruse, the guilt and the feelings brought on by a totally fictional belly-tenantâ€¦about happiness, success, family and the nature of love. ...more"	Womens Fiction	Three	https://books.toscrape.com/media/cache/e3/33/e33394096291284ed1f80c5b13c4e1f3.jpg
https://books.toscrape.com/catalogue/some-women_341/index.html	31f5bbf4974d29c9	Some Women	£13.73	£13.73	 (4 available)	An engrossing and thought provoking novel that examines the intricacies of marriage, friendship, and the power of unexpected connections…Annabel Ford has everything under control, devoting her time to her twin five-year-old boys and to keeping her household running seamlessly. So when her husband of a decade announces that he’s leaving her, without warning, she’s blindside An engrossing and thought provoking novel that examines the intricacies of marriage, friendship, and the power of unexpected connections…Annabel Ford has everything under control, devoting her time to her twin five-year-old boys and to keeping her household running seamlessly. So when her husband of a decade announces that he’s leaving her, without warning, she’s blindsided. And suddenly her world begins to unravel.Single mother Piper Whitley has always done her best to balance it all—raising her daughter Fern by herself and advancing her career as a crime reporter. Only now that she’s finally met the man of her dreams, Fern’s absentee father arrives on the scene and throws everything into a tailspin.Married to the heir of a thriving media conglomerate, Mackenzie Mead has many reasons to count her blessings. But with an imperious mother-in-law—who’s also her boss—and a husband with whom she can no longer seem to connect, something has to give.On the surface, these three women may not have much in common. Yet when their lives are thrust together and unlikely friendships are formed—at a time when they all need someone to lean on—Annabel, Piper, and Mackenzie band together to help each navigate their new realities. ...more	Womens Fiction	Five	https://books.toscrape.com/media/cache/2f/71/2f710e4c53d98e47b73e4d34702a6751.jpg
https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html	38199c5d7da0c0ef	Shopaholic Ties the Knot (Shopaholic #3)	£48.39	£48.39	 (4 available)	Life has been good for Becky Bloomwood: She’s become the best personal shopper at Barneys, she and her successful entrepreneurial boyfriend, Luke, are living happily in Manhattan’s West Village, and her new next-door neighbor is a fashion designer! But with her best friend, Suze, engaged, how can Becky fail to notice that her own ring finger is bare? Not that she’s been th Life has been good for Becky Bloomwood: She’s become the best personal shopper at Barneys, she and her successful entrepreneurial boyfriend, Luke, are living happily in Manhattan’s West Village, and her new next-door neighbor is a fashion designer! But with her best friend, Suze, engaged, how can Becky fail to notice that her own ring finger is bare? Not that she’s been thinking of marriage (or diamonds) or anything . . . Then Luke proposes! Bridal registries dance in Becky’s head. Problem is, two other people are planning her wedding: Becky’s overjoyed mother has been waiting forever to host a backyard wedding, with the bride resplendent in Mum’s frilly old gown. While Luke’s high-society mother is insisting on a glamorous, all-expenses-paid affair at the Plaza. Both weddings for the same day. And Becky can’t seem to turn down either one. Can everyone’s favorite shopaholic tie the knot before everything unravels? ...more	Womens Fiction	Five	https://books.toscrape.com/media/cache/d0/f8/d0f8f438caa5e7adc1c727da4f06ca64.jpg
https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html	0812f54c93d726ce	Can You Keep a Secret?	£21.94	£21.94	 (4 available)	Meet Emma Corrigan, a young woman with a huge heart, an irrepressible spirit, and a few little secrets: Secrets from her boyfriend: I've always thought Connor looks a bit like Ken. As in Barbie and Ken. Secrets from her mother: I lost my virginity in the spare bedroom with Danny Nussbaum while Mum and Dad were downstairs watching Ben-Hur. Secrets she wouldn't share with an Meet Emma Corrigan, a young woman with a huge heart, an irrepressible spirit, and a few little secrets: Secrets from her boyfriend: I've always thought Connor looks a bit like Ken. As in Barbie and Ken. Secrets from her mother: I lost my virginity in the spare bedroom with Danny Nussbaum while Mum and Dad were downstairs watching Ben-Hur. Secrets she wouldn't share with anyone in the world: I have no idea what NATO stands for. Or even what it is. Until she spills them all to a handsome stranger on a plane. At least, she thought he was a stranger.…Until Emma comes face-to-face with Jack Harper, the company's elusive CEO, a man who knows every single humiliating detail about her... ...more	Womens Fiction	One	https://books.toscrape.com/media/cache/e1/24/e124fe015a3ffa6857eb35c39e89cd61.jpg
https://books.toscrape.com/catalogue/twenties-girl_292/index.html	8ebad30219b8679c	Twenties Girl	£42.80	£42.80	 (3 available)	"Lara Lington has always had an overactive imagination, but suddenly that imagination seems to be in overdrive. Normal professional twenty-something young women don't get visited by ghosts. Or do they?When the spirit of Lara's great-aunt Sadie-a feisty, demanding girl with firm ideas about fashion, love, and the right way to dance-mysteriously appears, she has one request: Lara Lington has always had an overactive imagination, but suddenly that imagination seems to be in overdrive. Normal professional twenty-something young women don't get visited by ghosts. Or do they?When the spirit of Lara's great-aunt Sadie-a feisty, demanding girl with firm ideas about fashion, love, and the right way to dance-mysteriously appears, she has one request: Lara must find a missing necklace that had been in Sadie's possession for more than seventy-five years, because Sadie cannot rest without it.Lara and Sadie make a hilarious sparring duo, and at first it seems as though they have nothing in common. But as the mission to find Sadie's necklace leads to intrigue and a new romance for Lara, these very different ""twenties"" girls learn some surprising truths from and about each other. Written with all the irrepressible charm and humor that have made Sophie Kinsella's books beloved by millions, Twenties Girl is also a deeply moving testament to the transcendent bonds of friendship and family. ...more"	Womens Fiction	Two	https://books.toscrape.com/media/cache/49/ec/49ec020f1dfa44313313495b809f74f1.jpg
https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html	813cff2aefa5d1f0	The Undomestic Goddess	£45.75	£45.75	 (3 available)	Workaholic attorney Samantha Sweeting has just done the unthinkable. She’s made a mistake so huge, it’ll wreck any chance of a partnership. Going into utter meltdown, she walks out of her London office, gets on a train, and ends up in the middle of nowhere. Asking for directions at a big, beautiful house, she’s mistaken for an interviewee and finds herself being offered a Workaholic attorney Samantha Sweeting has just done the unthinkable. She’s made a mistake so huge, it’ll wreck any chance of a partnership. Going into utter meltdown, she walks out of her London office, gets on a train, and ends up in the middle of nowhere. Asking for directions at a big, beautiful house, she’s mistaken for an interviewee and finds herself being offered a job as housekeeper. Her employers have no idea they’ve hired a lawyer–and Samantha has no idea how to work the oven. She can’t sew on a button, bake a potato, or get the #@%# ironing board to open. How she takes a deep breath and begins to cope–and finds love–is a story as delicious as the bread she learns to bake. But will her old life ever catch up with her? And if it does…will she want it back? ...more	Womens Fiction	Four	https://books.toscrape.com/media/cache/e3/e9/e3e95f631eb64252324768ce795b50d7.jpg
